NAME	SYMBOL	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	FLT4	2836	-0.047833364456892014	-0.22130096	No	
row_1	NOTCH1	3036	-0.06238546594977379	-0.2344406	No	
row_2	KAT2A	3159	-0.07086862623691559	-0.24117583	No	
row_3	SNW1	5375	-0.24598078429698944	-0.40557554	No	
row_4	MAMLD1	9477	-0.8536030054092407	-0.6938421	No	
row_5	NOTCH2	11434	-1.6128374338150024	-0.7825381	Yes	
row_6	MAML1	11696	-1.7955656051635742	-0.73041666	Yes	
row_7	RBPJ	12064	-2.0788815021514893	-0.6751733	Yes	
row_8	MAML2	12165	-2.1746959686279297	-0.59503525	Yes	
row_9	MAML3	12188	-2.197619676589966	-0.5078298	Yes	
row_10	CREBBP	12228	-2.2339439392089844	-0.42049238	Yes	
row_11	ACTA2	12306	-2.339778184890747	-0.3318631	Yes	
row_12	SMAD3	12364	-2.4285647869110107	-0.23806633	Yes	
row_13	KAT2B	12652	-3.2681643962860107	-0.12839566	Yes	
row_14	EP300	12657	-3.2990565299987793	0.004801661	Yes	
